,SPY.Adjusted,F.Adjusted,SPYRet,Fret,Portret
1,165.34,16.5,NA,NA,NA
2,165.46,16.4,0.000725777,-0.006060606,-0.002667414
3,167.37,16.71,0.011543575,0.018902439,0.015223007
4,167.66,17.01,0.001732688,0.017953321,0.009843005
5,167.41,16.71,-0.001491113,-0.017636684,-0.009563899
6,166.46,16.55,-0.005674691,-0.009575105,-0.007624898
7,165.92,16.3,-0.003244023,-0.01510574,-0.009174881
8,166.53,16.5,0.003676471,0.012269939,0.007973205
9,166.05,16.54,-0.002882364,0.002424242,-0.000229061
10,165.85,16.59,-0.001204456,0.003022975,0.000909259
11,166.34,16.58,0.002954477,-0.000602773,0.001175852
12,165.49,16.41,-0.005110016,-0.010253317,-0.007681666
13,163.17,15.97,-0.014018974,-0.026812919,-0.020415946
14,162.63,15.84,-0.003309432,-0.008140263,-0.005724847
15,161.59,15.67,-0.006394884,-0.010732323,-0.008563604
16,162.39,15.85,0.004950801,0.011486918,0.00821886
17,161.39,15.79,-0.006158015,-0.003785489,-0.004971752
18,162.86,15.95,0.009108371,0.010132996,0.009620683
19,163.41,15.99,0.003377134,0.002507837,0.002942485
20,162.8,15.95,-0.003732942,-0.002501563,-0.003117253
21,160.18,15.43,-0.016093366,-0.032601881,-0.024347623
22,160.75,15.57,0.003558497,0.009073234,0.006315865
23,161.01,16.03,0.001617418,0.029543995,0.015580707
24,160.5,15.73,-0.003167505,-0.01871491,-0.010941207
25,161.22,15.88,0.004485981,0.009535919,0.00701095
26,162.56,16.43,0.008311624,0.034634761,0.021473192
27,162.76,16.81,0.001230315,0.023128424,0.012179369
28,162.84,16.52,0.000491521,-0.017251636,-0.008380057
29,164.4,16.82,0.009579956,0.018159806,0.013869881
30,165.62,17.06,0.007420925,0.014268728,0.010844826
31,166.14,17.05,0.003139717,-0.000586166,0.001276775
32,165.69,16.9,-0.002708559,-0.008797654,-0.005753107
33,166.07,16.86,0.00229344,-0.002366864,-3.67122E-05
34,167.03,16.86,0.005780695,0,0.002890347
35,167.77,16.95,0.004430342,0.005338078,0.00488421
36,169.71,17.13,0.01156345,0.010619469,0.011091459
37,169.43,17.16,-0.001649873,0.001751313,5.07201E-05
38,168.25,16.9,-0.006964528,-0.015151515,-0.011058022
39,167.47,16.72,-0.004635958,-0.010650888,-0.007643423
40,167.07,16.77,-0.002388487,0.002990431,0.000300972
41,166.59,16.71,-0.002873047,-0.003577818,-0.003225432
42,167.23,16.78,0.003841767,0.004189108,0.004015438
43,166.46,16.57,-0.004604437,-0.012514899,-0.008559668
44,165.58,16.39,-0.005286555,-0.010863005,-0.00807478
45,166.89,16.71,0.007911584,0.0195241,0.013717842
46,166.73,16.72,-0.000958715,0.000598444,-0.000180136
47,165.19,16.47,-0.00923649,-0.014952153,-0.012094322
48,166.44,16.61,0.007567044,0.008500304,0.008033674
49,165,16.34,-0.008651766,-0.016255268,-0.012453517
50,163.08,16.03,-0.011636364,-0.018971848,-0.015304106
51,163.2,16.15,0.000735835,0.007485964,0.004110899
52,166.72,16.45,0.021568627,0.018575851,0.020072239
53,167.79,16.63,0.006417946,0.010942249,0.008680098
54,168.46,16.7,0.003993087,0.00420926,0.004101173
55,167.24,16.49,-0.007242075,-0.01257485,-0.009908463
56,169.58,16.8,0.013991868,0.018799272,0.01639557
57,170.71,16.97,0.006663522,0.010119048,0.008391285
58,171.86,17.04,0.006736571,0.004124926,0.005430749
59,171.87,17.01,5.81869E-05,-0.001760563,-0.000851188
60,172.87,17.1,0.005818351,0.005291005,0.005554678
61,172.04,17.03,-0.004801296,-0.004093567,-0.004447432
62,172.61,17.26,0.003313183,0.013505578,0.008409381
63,173.4,17.1,0.004576792,-0.009269988,-0.002346598
64,173.68,17.07,0.001614764,-0.001754386,-6.98112E-05
65,174.6,17.11,0.005297098,0.002343292,0.003820195
66,173.74,16.95,-0.004925544,-0.009351257,-0.0071384
67,173.24,16.72,-0.002877863,-0.013569322,-0.008223593
